freq, MHz	val1	val2	val3	unit
0,0090	77,6828			dBuV
0,0091	74,6613			dBuV
0,0092	69,6567			dBuV
0,0093	73,1842			dBuV
0,0094	71,8778			dBuV
0,0095	74,2676			dBuV
0,0096	74,0012			dBuV
0,0097	76,9678			dBuV
0,0098	76,3415			dBuV
0,0099	73,9326			dBuV
0,0100	71,4243			dBuV
0,0101	76,3332			dBuV
0,0102	73,1388			dBuV
0,0103	74,9332			dBuV
0,0104	68,5949			dBuV
0,0105	75,6523			dBuV
0,0106	71,1473			dBuV
0,0107	76,0949			dBuV
0,0108	74,0552			dBuV
0,0109	73,0726			dBuV
0,0110	75,9989			dBuV
0,0111	70,8166			dBuV
0,0112	72,1697			dBuV
0,0113	71,2866			dBuV
0,0114	65,6544			dBuV
0,0115	72,9958			dBuV
0,0116	69,1059			dBuV
0,0117	68,4607			dBuV
0,0118	66,2639			dBuV
0,0119	75,2654			dBuV
0,0120	71,4484			dBuV
0,0121	70,1910			dBuV
0,0122	63,7700			dBuV
0,0123	72,8050			dBuV
0,0124	65,3616			dBuV
0,0125	72,4369			dBuV
0,0126	70,6490			dBuV
0,0127	70,8315			dBuV
0,0128	68,3589			dBuV
0,0129	68,7450			dBuV
0,0130	67,0677			dBuV
0,0131	64,9167			dBuV
0,0132	65,8065			dBuV
0,0133	71,2323			dBuV
0,0134	71,4716			dBuV
0,0135	65,3199			dBuV
0,0136	67,7368			dBuV
0,0137	63,1557			dBuV
0,0138	63,8254			dBuV
0,0139	66,9671			dBuV
0,0140	61,0940			dBuV
0,0141	64,6919			dBuV
0,0142	61,3081			dBuV
0,0143	67,8728			dBuV
0,0144	66,7991			dBuV
0,0145	61,9057			dBuV
0,0146	71,0075			dBuV
0,0147	61,6435			dBuV
0,0148	64,0114			dBuV
0,0149	66,8214			dBuV
0,0150	68,5623			dBuV
0,0151	63,1593			dBuV
0,0152	66,4567			dBuV
0,0153	69,1829			dBuV
0,0154	65,6995			dBuV
0,0155	69,1467			dBuV
